"unigram","bigram","freq"
"than","i",46
"that","has",46
"that","one",46
"the","problem",46
"the","worst",46
"things","i",46
"well","i",46
"would","like",46
"a","beautiful",45
"a","whole",45
"a","woman",45
"amount","of",45
"easy","to",45
"feel","the",45
"for","him",45
"friends","and",45
"get","out",45
"glad","you",45
"here","in",45
"how","you",45
"i","wont",45
"idea","of",45
"is","more",45
"is","very",45
"many","people",45
"no","longer",45
"same","time",45
"see","what",45
"since","the",45
"the","country",45
"the","name",45
"the","rt",45
"they","had",45
"to","him",45
"to","run",45
"to","them",45
"was","that",45
"with","them",45
"a","more",44
"a","wonderful",44
"against","the",44
"and","even",44
"as","if",44
"back","and",44
"can","make",44
"did","i",44
"get","in",44
"great","day",44
"happy","mothers",44
"her","to",44
"i","knew",44
"i","look",44
"i","took",44
"if","u",44
"im","gonna",44
"is","always",44
"it","the",44
"love","your",44
"now","the",44
"of","god",44
"on","and",44
"on","how",44
"seem","to",44
"stop","by",44
"take","it",44
"the","floor",44
"the","things",44
"the","work",44
"to","visit",44
"use","of",44
"what","happened",44
"where","you",44
"work","on",44
"you","had",44
"you","might",44
"and","do",43
"and","just",43
"but","there",43
"can","we",43
"does","it",43
"every","day",43
"how","are",43
"i","say",43
"in","front",43
"it","wasnt",43
"make","you",43
"my","dad",43
"people","to",43
"read","it",43
"said","i",43
"something","to",43
"that","can",43
"the","film",43
"the","man",43
"the","place",43
"the","room",43
"to","pay",43
"to","school",43
"type","of",43
"was","at",43
"what","he",43
"am","a",42
"and","let",42
"be","at",42
"but","that",42
"came","to",42
"do","something",42
"for","another",42
"give","you",42
"have","some",42
"here","and",42
"i","wasnt",42
"ice","cream",42
"it","does",42
"it","looks",42
"it","takes",42
"life","and",42
"looking","at",42
"me","back",42
"me","for",42
"me","know",42
"more","and",42
"much","to",42
"not","going",42
"of","how",42
"read","the",42
"so","good",42
"that","have",42
"the","government",42
"watch","the",42
"what","was",42
"will","make",42
"a","different",41
"a","fan",41
"a","job",41
"a","large",41
"and","no",41
"and","was",41
"and","when",41
"back","on",41
"but","when",41
"call","me",41
"dont","forget",41
"find","the",41
"here","are",41
"i","agree",41
"looked","at",41
"my","best",41
"needed","to",41
"now","im",41
"of","its",41
"or","so",41
"people","and",41
"saw","a",41
"the","beginning",41
"the","bottom",41
"the","case",41
"the","idea",41
"the","number",41
"the","point",41
"there","will",41
"though","i",41
"to","let",41
"to","not",41
"united","states",41
"up","my",41
"want","a",41
"a","better",40
"along","the",40
"any","other",40
"because","he",40
"but","in",40
"but","then",40
"coming","to",40
"didnt","have",40
"do","a",40
"follow","back",40
"get","back",40
"glad","to",40
"got","it",40
"have","had",40
"home","and",40
"i","bought",40
"if","your",40
"in","it",40
"is","for",40
"love","and",40
"much","for",40
"my","way",40
"place","in",40
"said","he",40
"the","front",40
"the","internet",40
