"unigram","BigramTM","TrigramTM","freq"
"when","he","was",10
"who","wants","to",10
"with","all","of",10
"you","are","not",10
"you","will","be",10
"a","fan","of",9
"a","good","time",9
"all","my","friends",9
"and","a","few",9
"and","a","half",9
"and","he","was",9
"and","i","had",9
"and","i","will",9
"and","im","not",9
"and","that","the",9
"and","then","i",9
"and","there","are",9
"and","we","are",9
"are","the","best",9
"at","the","top",9
"been","able","to",9
"being","able","to",9
"by","the","time",9
"come","to","the",9
"did","you","get",9
"dont","forget","to",9
"forward","to","seeing",9
"getting","ready","to",9
"go","to","a",9
"going","to","get",9
"going","to","go",9
"going","to","see",9
"happy","new","year",9
"has","to","be",9
"have","a","few",9
"have","to","go",9
"how","to","make",9
"i","dont","even",9
"i","dont","see",9
"i","felt","like",9
"i","hate","to",9
"i","hate","when",9
"i","just","dont",9
"i","know","its",9
"i","like","it",9
"i","love","my",9
"i","love","that",9
"i","love","to",9
"i","made","a",9
"i","needed","to",9
"i","thought","it",9
"i","was","in",9
"i","wonder","if",9
"i","would","be",9
"if","i","had",9
"if","there","is",9
"if","you","like",9
"in","the","face",9
"in","the","future",9
"in","the","next",9
"in","the","way",9
"is","better","than",9
"is","in","the",9
"is","so","much",9
"is","such","a",9
"it","in","the",9
"it","was","not",9
"it","was","so",9
"its","all","about",9
"just","have","to",9
"keep","it","up",9
"know","if","you",9
"life","is","a",9
"listening","to","the",9
"may","be","the",9
"me","in","the",9
"me","on","twitter",9
"me","that","i",9
"much","of","the",9
"need","to","do",9
"not","to","be",9
"of","people","who",9
"of","the","book",9
"of","the","other",9
"on","the","road",9
"out","to","be",9
"so","excited","to",9
"so","i","could",9
"so","much","for",9
"so","you","can",9
"take","care","of",9
"thanks","for","sharing",9
"that","he","is",9
"that","i","dont",9
"that","i","had",9
"that","was","a",9
"the","city","of",9
"the","first","place",9
"the","last","day",9
"the","only","thing",9
"the","past","few",9
"the","same","way",9
"the","side","of",9
"they","are","the",9
"this","is","why",9
"thought","i","was",9
"thought","it","was",9
"to","do","a",9
"to","do","the",9
"to","each","other",9
"to","get","my",9
"to","get","to",9
"to","me","that",9
"to","meet","you",9
"to","see","how",9
"to","see","in",9
"to","share","with",9
"to","worry","about",9
"told","me","that",9
"trying","to","find",9
"want","to","do",9
"wants","to","be",9
"was","a","good",9
"was","the","only",9
"way","to","the",9
"what","a","great",9
"when","i","get",9
"will","always","be",9
"with","all","the",9
"you","are","a",9
"you","can","do",9
"you","to","the",9
"you","will","find",9
"a","beautiful","day",8
"a","few","more",8
"a","few","years",8
"a","good","day",8
"a","look","at",8
"a","lot","more",8
"a","matter","of",8
"a","member","of",8
"a","piece","of",8
"a","sense","of",8
"a","series","of",8
"along","the","way",8
"and","all","the",8
"and","i","just",8
"and","i","know",8
"and","i","love",8
"and","they","are",8
"and","when","i",8
"as","a","result",8
"as","good","as",8
"at","least","one",8
"at","the","beginning",8
"back","on","the",8
"be","a","great",8
"be","part","of",8
"because","it","is",8
"but","i","am",8
"but","i","know",8
"by","the","end",8
"chance","to","win",8
